15 5973 19852
1 136 0.243304 0.170911
0 137 0.240247 0.211054
1 137 0.251454 0.171318
0 138 0.365552 0.211054
1 138 0.367997 0.155017
0 139 0.0263124 0.213092
1 139 0.0385373 0.162149
0 140 0.0558558 0.226337
1 140 0.0670619 0.174375
0 141 0.0578933 0.230412
1 141 0.0690994 0.180488
0 142 -0.0429618 0.231431
1 142 -0.026662 0.188639
0 143 0.0599308 0.23245
1 143 0.0711369 0.181507
0 144 -0.0409243 0.235507
1 144 -0.0256432 0.192918
0 145 0.175048 0.236525
1 145 0.184624 0.18925
0 146 0.196442 0.248752
1 146 0.205407 0.205145
0 147 -0.0419431 0.249771
1 147 -0.0256432 0.209016
0 148 -0.00526848 0.25079
1 148 0.0085864 0.205145
0 149 0.196442 0.255884
1 149 0.206629 0.213092
0 150 0.192367 0.256903
1 150 0.202554 0.214111
0 151 -0.0337931 0.259959
1 151 -0.0174933 0.218186
0 152 0.058912 0.259959
1 152 0.0701181 0.211054
0 153 0.186254 0.259959
1 153 0.19746 0.216148
0 154 0.18931 0.259959
1 154 0.199294 0.216148
0 155 -0.0327744 0.261997
1 155 -0.0174933 0.220224
0 156 -0.0276807 0.265054
1 156 -0.0121959 0.223484
0 157 0.0599308 0.266072
1 157 0.0709332 0.217371
0 158 0.368608 0.270148
1 158 0.373702 0.219205
0 159 0.37574 0.270148
1 159 0.380833 0.219205
0 160 0.204592 0.273204
1 160 0.216409 0.233265
0 161 -0.00832469 0.275242
1 161 0.00593764 0.231431
0 162 0.00390016 0.279318
1 162 0.0171438 0.235507
0 163 0.182179 0.284412
1 163 0.192367 0.243658
0 164 0.0640057 0.293582
1 164 0.0746006 0.246714
0 165 0.0660432 0.317016
1 165 0.0772493 0.272186
0 0 -0.0806551 -0.315698
0 166 -0.261583 -0.314475
1 166 -0.227353 -0.35849
0 167 -0.0757651 -0.301026
1 167 -0.0464255 -0.329147
0 167 -0.0745426 -0.298581
0 168 -0.253026 -0.297358
1 168 -0.219529 -0.342107
0 3 -0.240801 -0.297358
0 169 -0.0843225 -0.292468
1 169 -0.0562054 -0.323033
0 170 -0.221241 -0.282687
1 170 -0.189456 -0.326701
0 171 -0.240801 -0.280241
1 171 -0.210728 -0.327435
0 6 -0.235911 -0.280241
0 172 -0.227353 -0.277796
1 172 -0.195569 -0.324256
0 173 -0.222463 -0.277796
1 173 -0.190679 -0.323033
0 174 -0.240801 -0.276573
1 174 -0.209016 -0.32283
0 175 -0.212684 -0.27046
1 175 -0.182121 -0.315698
0 176 -0.204126 -0.268015
1 176 -0.173564 -0.31203
0 177 -0.199236 -0.26557
1 177 -0.169897 -0.309584
0 178 -0.047648 -0.26557
1 178 -0.0219757 -0.297358
0 179 -0.224908 -0.264347
1 179 -0.195569 -0.310807
0 180 -0.210239 -0.252121
1 180 -0.180899 -0.298581
0 181 -0.212684 -0.249675
1 181 -0.184566 -0.297358
0 13 -0.190679 -0.246007
0 182 -0.174786 -0.246007
1 182 -0.146669 -0.290022
0 183 -0.0342006 -0.246007
1 183 -0.00852839 -0.279019
0 184 -0.180899 -0.236226
1 184 -0.154004 -0.282687
0 185 -0.180899 -0.225223
1 185 -0.154004 -0.272905
0 186 -0.185789 -0.224
1 186 -0.158894 -0.271683
0 187 -0.190679 -0.221555
1 187 -0.162154 -0.267811
0 188 -0.0134184 -0.186098
1 188 0.0085864 -0.224
0 189 0.12839 -0.184876
1 189 0.147542 -0.224
0 23 -0.145447 -0.183653
0 190 -0.0121959 -0.181208
1 190 0.00980889 -0.21911
0 191 -0.118552 -0.161646
1 191 -0.0953249 -0.209328
0 192 0.00247397 -0.157978
1 192 0.0232562 -0.197102
0 193 -0.0941024 -0.138416
1 193 -0.0720977 -0.186098
0 194 -0.0464255 -0.137193
1 194 -0.0244207 -0.179985
0 37 -0.0574278 -0.0968461
0 195 -0.0170858 -0.0968461
1 195 0.00247397 -0.140861
0 196 -0.0219757 -0.0944008
1 196 -0.00241596 -0.138416
0 197 -0.0183083 -0.0907329
1 197 0.00125147 -0.13597
0 198 -0.00852839 -0.0895103
1 198 0.0110313 -0.133525
0 39 0.0794905 -0.0846198
0 199 -0.187011 -0.0785066
1 199 -0.160117 -0.120076
0 200 0.00369647 -0.0785066
1 200 0.0232562 -0.121299
0 201 0.00125147 -0.0748387
1 201 0.0195888 -0.118854
0 202 -0.146669 -0.0711708
1 202 -0.12222 -0.113963
0 203 0.299538 -0.0687255
1 203 0.31543 -0.100514
0 204 -0.118552 -0.0650576
1 204 -0.0941024 -0.106627
0 205 0.0525959 -0.0589445
1 205 0.0711369 -0.0986801
0 206 0.303205 -0.0577218
1 206 0.319098 -0.0907329
0 207 0.299538 -0.0430502
1 207 0.31543 -0.0748387
0 208 0.11861 -0.0418276
1 208 0.134502 -0.0858424
0 209 -0.116107 -0.0381597
1 209 -0.0928799 -0.0821745
0 56 -0.109995 -0.0357144
0 210 -0.124665 -0.0344918
1 210 -0.101437 -0.077284
0 211 0.32521 -0.0283786
1 211 0.33988 -0.063835
0 212 -0.100215 -0.0247107
1 212 -0.0786176 -0.0701519
0 213 0.328878 -0.023488
1 213 0.342325 -0.0589445
0 214 0.0085864 -0.0173749
1 214 0.0303874 -0.0497747
0 215 -0.0953249 -0.0161522
1 215 -0.0742982 -0.0574773
0 216 -0.0757651 -0.00148063
1 216 -0.0537604 -0.0398714
0 217 0.00369647 -0.000258011
1 217 0.0236964 -0.0419253
0 218 -0.0782101 0.0034099
1 218 -0.0562054 -0.0344918
0 219 -0.0818776 0.00830045
1 219 -0.0598728 -0.0320465
0 220 0.309318 0.00952307
1 220 0.323254 -0.0296012
0 221 0.257973 0.0119683
1 221 0.273377 -0.0193311
0 61 0.13328 0.0144136
0 222 0.242081 0.0156362
1 222 0.258707 -0.0149296
0 62 0.168732 0.0180815
0 65 0.249416 0.0254173
0 223 0.260418 0.0254173
1 223 0.276311 -0.00637118
0 224 0.255529 0.0339758
1 224 0.271421 0.000964636
0 224 0.257973 0.036421
0 68 -0.0843225 0.0376437
0 225 0.283646 0.0413116
1 225 0.295871 0.00218728
0 226 0.272643 0.0462021
1 226 0.287109 0.011357
0 227 0.262863 0.0486474
1 227 0.277941 0.0123759
0 228 0.272643 0.04987
1 228 0.287109 0.0144136
0 71 0.264086 0.0523153
0 229 0.277533 0.0572058
1 229 0.289758 0.0193041
0 230 0.283646 0.0718774
1 230 0.295871 0.0327531
0 77 0.275088 0.0743227
0 231 0.275088 0.0792132
1 231 0.287313 0.0400889
0 232 0.234746 0.0804359
1 232 0.245749 0.036421
0 233 0.238414 0.0828811
1 233 0.248194 0.0376437
0 234 0.292203 0.0828811
1 234 0.303205 0.0437568
0 235 0.271421 0.0841038
1 235 0.283646 0.0449795
0 236 0.262863 0.086549
1 236 0.274885 0.0449794
0 237 0.276311 0.0902169
1 237 0.287313 0.0486474
0 238 0.0953829 0.0938848
1 238 0.102718 0.0286777
0 239 0.0953829 0.0975528
1 239 0.103736 0.033772
0 240 0.114943 0.108556
1 240 0.121055 0.0425342
0 241 -0.0244207 0.109779
1 241 -0.00975089 0.0584284
0 242 0.155285 0.109779
1 242 0.16482 0.0584284
0 86 -0.0342006 0.111002
0 243 0.171177 0.113447
1 243 0.179734 0.0608737
0 87 -0.0207532 0.11467
0 244 0.16751 0.11467
1 244 0.178023 0.0642971
0 245 -0.0378681 0.124451
1 245 -0.0231982 0.0706548
0 246 0.169954 0.128119
1 246 0.178512 0.0743227
0 247 -0.0647628 0.129341
1 247 -0.047648 0.0779906
0 248 0.180957 0.130564
1 248 0.189514 0.0779906
0 249 0.232301 0.130564
1 249 0.240859 0.0828811
0 90 0.317875 0.130564
0 250 0.0550408 0.136677
1 250 0.0670619 0.0836962
0 251 0.0489284 0.139122
1 251 0.0609495 0.0847151
0 92 0.0574858 0.139122
0 252 0.233524 0.145235
1 252 0.242081 0.0963301
0 253 -0.0623178 0.147681
1 253 -0.0449585 0.100976
0 254 0.33988 0.147681
1 254 0.345992 0.0963301
0 255 -0.0354231 0.150126
1 255 -0.0207532 0.0975528
0 256 -0.0684302 0.151349
1 256 -0.050093 0.107334
0 257 -0.0305332 0.151349
1 257 -0.0156188 0.099509
0 98 -0.0268657 0.151349
0 258 -0.0647628 0.152571
1 258 -0.0464255 0.109779
0 259 -0.0231982 0.152571
1 259 -0.00852839 0.101221
0 260 -0.0610953 0.157462
1 260 -0.042758 0.112224
0 261 0.00980889 0.158684
1 261 0.0220338 0.104889
0 262 0.240859 0.158684
1 262 0.249905 0.114181
0 263 0.0122538 0.159907
1 263 0.0244787 0.104889
0 264 0.206629 0.16113
1 264 0.216164 0.111246
0 265 0.198072 0.163575
1 265 0.207363 0.114181
0 266 0.0477059 0.16602
1 266 0.0587083 0.111002
0 267 0.0538183 0.16602
1 267 0.0648208 0.111002
0 268 0.224966 0.167243
1 268 0.235235 0.120049
0 111 0.0464835 0.169688
0 269 0.0513734 0.169688
1 269 0.0623758 0.115892
0 270 0.250639 0.169688
1 270 0.261641 0.128119
0 271 0.216409 0.170911
1 271 0.226433 0.122984
0 272 -0.0647628 0.172133
1 272 -0.0464255 0.128119
0 273 0.0550408 0.172133
1 273 0.0665322 0.117115
0 274 0.217631 0.173356
1 274 0.226433 0.127385
0 275 -0.0610953 0.175801
1 275 -0.0439805 0.131786
0 276 -0.0610953 0.180692
1 276 -0.0439805 0.135454
0 277 -0.0623178 0.185582
1 277 -0.045203 0.14279
